account_name,product_id,state,cible
annne62,4580149969,Neuf avec étiquette,Femme
annne62,4580149969,Neuf avec étiquette,Femme
nesshopparis,4580150085,Neuf avec étiquette,Femme
nesshopparis,4580150085,Neuf avec étiquette,Femme
letiziac11,4580149858,Neuf avec étiquette,Femme
letiziac11,4580149858,Neuf avec étiquette,Femme
denice1005,4580150013,Neuf avec étiquette,Femme
denice1005,4580150013,Neuf avec étiquette,Femme
albaamarmar,4580149988,Neuf avec étiquette,Femme
albaamarmar,4580149988,Neuf avec étiquette,Femme
alycewkqzvo,4580149851,Neuf avec étiquette,Femme
alycewkqzvo,4580149851,Neuf avec étiquette,Femme
eefkevanos,4580149743,Neuf avec étiquette,Femme
eefkevanos,4580149743,Neuf avec étiquette,Femme
marmarsar,4580149728,Neuf avec étiquette,Femme
marmarsar,4580149728,Neuf avec étiquette,Femme
gdv210293,4580149568,Neuf avec étiquette,Femme
gdv210293,4580149568,Neuf avec étiquette,Femme
pinat99,4580149389,Neuf avec étiquette,Femme
pinat99,4580149389,Neuf avec étiquette,Femme
walou951,4580149391,Neuf avec étiquette,Femme
walou951,4580149391,Neuf avec étiquette,Femme
bbbb10212802,4580149496,Neuf avec étiquette,Femme
bbbb10212802,4580149496,Neuf avec étiquette,Femme
nanou2872,4580149216,Neuf avec étiquette,Femme
nanou2872,4580149216,Neuf avec étiquette,Femme
itscatiaaguiar,4580148610,Neuf avec étiquette,Femme
itscatiaaguiar,4580148610,Neuf avec étiquette,Femme
juuditth92,4580149157,Neuf avec étiquette,Femme
juuditth92,4580149157,Neuf avec étiquette,Femme
flora_12_12,4580206720,Neuf avec étiquette,Femme
flora_12_12,4580206720,Neuf avec étiquette,Femme
anitam64,4580148881,Neuf avec étiquette,Femme
anitam64,4580148881,Neuf avec étiquette,Femme
stephi30,4580148778,Neuf avec étiquette,Femme
stephi30,4580148778,Neuf avec étiquette,Femme
jenny.r.b,4580148589,Neuf avec étiquette,Femme
jenny.r.b,4580148589,Neuf avec étiquette,Femme
aliciaalmarales,4580148647,Neuf avec étiquette,Femme
aliciaalmarales,4580148647,Neuf avec étiquette,Femme
micheleguerre,4580148398,Neuf avec étiquette,Femme
micheleguerre,4580148398,Neuf avec étiquette,Femme
eba99,4580148649,Neuf avec étiquette,Femme
eba99,4580148649,Neuf avec étiquette,Femme
steph9230,4568572712,Neuf avec étiquette,Femme
steph9230,4568572712,Neuf avec étiquette,Femme
gisanic,4580148261,Neuf avec étiquette,Femme
gisanic,4580148261,Neuf avec étiquette,Femme
l0labunny,4580148221,Neuf avec étiquette,Femme
l0labunny,4580148221,Neuf avec étiquette,Femme
paccaciotta,4580148078,Neuf avec étiquette,Femme
paccaciotta,4580148078,Neuf avec étiquette,Femme
victorinecnt,4580148227,Neuf avec étiquette,Femme
victorinecnt,4580148227,Neuf avec étiquette,Femme
suchana,4580146999,Neuf avec étiquette,Femme
suchana,4580146999,Neuf avec étiquette,Femme
mariangelesviciana,4580147947,Neuf avec étiquette,Femme
mariangelesviciana,4580147947,Neuf avec étiquette,Femme
marinabrr3,4580148002,Neuf avec étiquette,Femme
marinabrr3,4580148002,Neuf avec étiquette,Femme
colinstephanie,4580053784,Neuf avec étiquette,Femme
colinstephanie,4580053784,Neuf avec étiquette,Femme
marie.dvz,4580147790,Neuf avec étiquette,Femme
marie.dvz,4580147790,Neuf avec étiquette,Femme
mamzelle.sara,4580147772,Neuf avec étiquette,Femme
mamzelle.sara,4580147772,Neuf avec étiquette,Femme
fredofoto,4580147490,Neuf avec étiquette,Femme
fredofoto,4580147490,Neuf avec étiquette,Femme
olivier38240,4580147508,Neuf avec étiquette,Femme
olivier38240,4580147508,Neuf avec étiquette,Femme
bian.ca.mata,4580147443,Neuf avec étiquette,Femme
bian.ca.mata,4580147443,Neuf avec étiquette,Femme
mjosealba,4580147292,Neuf avec étiquette,Femme
mjosealba,4580147292,Neuf avec étiquette,Femme
covenezia,4580147402,Neuf avec étiquette,Femme
covenezia,4580147402,Neuf avec étiquette,Femme
canyellagingebre,4580147332,Neuf avec étiquette,Femme
canyellagingebre,4580147332,Neuf avec étiquette,Femme
kek_dlp,4580147296,Neuf avec étiquette,Femme
kek_dlp,4580147296,Neuf avec étiquette,Femme
soniakhaoui,4580147035,Neuf avec étiquette,Femme
soniakhaoui,4580147035,Neuf avec étiquette,Femme
missjennemark,4580146842,Neuf avec étiquette,Femme
missjennemark,4580146842,Neuf avec étiquette,Femme
miamiazz,4580146844,Neuf avec étiquette,Femme
miamiazz,4580146844,Neuf avec étiquette,Femme
pepina0177,4580146837,Neuf avec étiquette,Femme
pepina0177,4580146837,Neuf avec étiquette,Femme
ludamelny,4580146904,Neuf avec étiquette,Femme
ludamelny,4580146904,Neuf avec étiquette,Femme
crys230,4580146690,Neuf avec étiquette,Femme
crys230,4580146690,Neuf avec étiquette,Femme
xxmaaikeexx,4580146452,Neuf avec étiquette,Femme
xxmaaikeexx,4580146452,Neuf avec étiquette,Femme
silviacuellar,4579699685,Neuf avec étiquette,Femme
silviacuellar,4579699685,Neuf avec étiquette,Femme
laetitia.mrc30,4580146503,Neuf avec étiquette,Femme
laetitia.mrc30,4580146503,Neuf avec étiquette,Femme
nsm_sun,4580146274,Neuf avec étiquette,Femme
nsm_sun,4580146274,Neuf avec étiquette,Femme
logicverkoop,4580146106,Neuf avec étiquette,Femme
logicverkoop,4580146106,Neuf avec étiquette,Femme
mamatennis,4580146099,Neuf avec étiquette,Femme
mamatennis,4580146099,Neuf avec étiquette,Femme
hillekevandonk,4580146004,Neuf avec étiquette,Femme
hillekevandonk,4580146004,Neuf avec étiquette,Femme
xelineheyt,4580146088,Neuf avec étiquette,Femme
xelineheyt,4580146088,Neuf avec étiquette,Femme
fatimajerez,4580146120,Neuf avec étiquette,Femme
fatimajerez,4580146120,Neuf avec étiquette,Femme
leone878,4580145875,Neuf avec étiquette,Femme
leone878,4580145875,Neuf avec étiquette,Femme
isa-06000,4580145763,Neuf avec étiquette,Femme
isa-06000,4580145763,Neuf avec étiquette,Femme
sara180398,4580145584,Neuf avec étiquette,Femme
sara180398,4580145584,Neuf avec étiquette,Femme
reichfdez,4580145460,Neuf avec étiquette,Femme
reichfdez,4580145460,Neuf avec étiquette,Femme
nogaret34160,4580145837,Neuf avec étiquette,Femme
nogaret34160,4580145837,Neuf avec étiquette,Femme
xpea89,4580145696,Neuf avec étiquette,Femme
xpea89,4580145696,Neuf avec étiquette,Femme
mijke1984,4580145683,Neuf avec étiquette,Femme
mijke1984,4580145683,Neuf avec étiquette,Femme
samzar,4580145680,Neuf avec étiquette,Femme
samzar,4580145680,Neuf avec étiquette,Femme
fanouche44,4580145579,Neuf avec étiquette,Femme
fanouche44,4580145579,Neuf avec étiquette,Femme
chiara.abagnale,4580145682,Neuf avec étiquette,Femme
chiara.abagnale,4580145682,Neuf avec étiquette,Femme
chris8536,4580145231,Neuf avec étiquette,Femme
chris8536,4580145231,Neuf avec étiquette,Femme
nesita06,4580145311,Neuf avec étiquette,Femme
nesita06,4580145311,Neuf avec étiquette,Femme
05122915,4580145330,Neuf avec étiquette,Femme
05122915,4580145330,Neuf avec étiquette,Femme
nour_8131,4580144759,Neuf avec étiquette,Femme
nour_8131,4580144759,Neuf avec étiquette,Femme
cecilia.chi,4580145287,Neuf avec étiquette,Femme
cecilia.chi,4580145287,Neuf avec étiquette,Femme
misszuu,4580144673,Neuf avec étiquette,Femme
misszuu,4580144673,Neuf avec étiquette,Femme
maafaaldaa2021,4580144876,Neuf avec étiquette,Femme
maafaaldaa2021,4580144876,Neuf avec étiquette,Femme
giuliacracco,4580144693,Neuf avec étiquette,Femme
giuliacracco,4580144693,Neuf avec étiquette,Femme
addict-vintage,4580144504,Neuf avec étiquette,Femme
addict-vintage,4580144504,Neuf avec étiquette,Femme
elineblaauwx,4580144621,Neuf avec étiquette,Femme
elineblaauwx,4580144621,Neuf avec étiquette,Femme
jenni_1009,4580144681,Neuf avec étiquette,Femme
jenni_1009,4580144681,Neuf avec étiquette,Femme
formidoublementbien,4580144097,Neuf avec étiquette,Femme
formidoublementbien,4580144097,Neuf avec étiquette,Femme
faress_paris,4580144534,Neuf avec étiquette,Femme
faress_paris,4580144534,Neuf avec étiquette,Femme
vvintagee11,4580144440,Neuf avec étiquette,Femme
vvintagee11,4580144440,Neuf avec étiquette,Femme
mhd213,4580144538,Neuf avec étiquette,Femme
mhd213,4580144538,Neuf avec étiquette,Femme
rufus69.42,4580144435,Neuf avec étiquette,Femme
rufus69.42,4580144435,Neuf avec étiquette,Femme
clemovrt,4580144467,Neuf avec étiquette,Femme
clemovrt,4580144467,Neuf avec étiquette,Femme
colette3556,4580144260,Neuf avec étiquette,Femme
colette3556,4580144260,Neuf avec étiquette,Femme
samana1807,4580144074,Neuf avec étiquette,Femme
samana1807,4580144074,Neuf avec étiquette,Femme
inesjorge31,4580144071,Neuf avec étiquette,Femme
inesjorge31,4580144071,Neuf avec étiquette,Femme
